Item Fruits,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Mango, Khiaw Sawei",Baht / kg.,31,31.25,24.79,20.5,22.47,25,20,30,30,26.67,37.5,40
Tangerine,Baht / kg.,30,30,22.2,21.67,21.2,25,31.25,35,30,33.75,28.2,26.67
Durain,Baht / kg.,78.63,78.63,121.13,89.77,113.63,121.85,95.46,73.38,85.44,85.61,85.61,85.61
Pineapple,Baht / kg.,3.15,3.69,4.48,5.49,6.48,7.18,6.19,6.34,6.48,6.72,7.04,7.76
Longan,Baht / kg.,24.83,26.47,28.82,25.13,22.5,22.25,26.02,27.36,25.79,27.5,27.5,27.5
Longkong,Baht / kg.,26.67,26.67,26.67,26.67,45.73,47.3,39.33,30.8,19.56,19.56,19.56,
Rambutan,Baht / kg.,28.25,28.25,28.25,25.67,24.59,28.24,29.03,18.55,16.02,13.28,13.28,13.28
Mangosteen,Baht / kg.,12.35,12.35,12.35,47.28,54.74,50.69,23.21,11.5,15.15,15.97,15.97,15.97
"Banana, Cavendish",Baht / kg.,190.12,188.39,186.56,188.61,192,192.5,190.5,210.04,233,241.08,237.13,221.67
Lychee,Baht / kg.,13.83,13.83,13.83,13.83,37.7,49.5,49.5,49.5,49.5,49.5,49.5,49.5
